ERUID,ERNAME,NAICS,Concentration
5940,Kootenay,111,0.011459308
3515,Kingston-Pembroke,311,0.011435496
2470,Mauricie,322,0.011416366
1230,Annapolis Valley,321,0.011409347
4870,Athabasca-Grande Prairie-Peace River,112,0.01135463
2475,Saguenay-Lac-Saint-Jean,522,0.011345518
3530,Toronto,336,0.011331618
2430,Estrie,112,0.011317956
5940,Kootenay,522,0.011310486
4730,Saskatoon-Biggar,523,0.011267547
2475,Saguenay-Lac-Saint-Jean,332,0.011187392
5930,Thompson-Okanagan,488,0.011109681
4650,Winnipeg,333,0.011105386
1110,Prince Edward Island / Île-du-Prince-Édouard,484,0.01108491
2445,Laval,522,0.01105191
4730,Saskatoon-Biggar,311,0.011037597
2433,Centre-du-Québec,522,0.010995119
4830,Calgary,522,0.01097162
2433,Centre-du-Québec,331,0.010927332
4610,Southeast / Sud-est,325,0.010925624
2410,Gaspésie-Îles-de-la-Madeleine,113,0.010919017
2450,Lanaudière,337,0.010911379
5910,Vancouver Island and Coast / Île de Vancouver et la côte,522,0.010871343
2445,Laval,493,0.010859086
3515,Kingston-Pembroke,524,0.010855187
2440,Montréal,488,0.010850183
1220,North Shore / Côte-nord,332,0.010812518
4810,Lethbridge-Medicine Hat,332,0.010798825
2480,Côte-Nord,113,0.010697006
2420,Capitale-Nationale,311,0.010690818
3595,Northwest / Nord-ouest,481,0.010689786
2435,Montérégie,325,0.010676507
4830,Calgary,333,0.010672009
2410,Gaspésie-Îles-de-la-Madeleine,115,0.010670858
4760,Northern / Nord,213,0.010669253
3570,Windsor-Sarnia,524,0.010661484
2480,Côte-Nord,237,0.010659208
5910,Vancouver Island and Coast / Île de Vancouver et la côte,311,0.010642325
5940,Kootenay,331,0.010630156
4850,Red Deer,332,0.010624046
4650,Winnipeg,237,0.010621854
2480,Côte-Nord,115,0.010621409
5930,Thompson-Okanagan,113,0.010619187
2430,Estrie,337,0.010612079
4670,Parklands,113,0.010607798
1040,Notre Dame-Central Bonavista Bay,221,0.010599975
2435,Montérégie,331,0.010572442
5970,Nechako,112,0.010565569
3510,Ottawa,334,0.010536368
4710,Regina-Moose Mountain,523,0.010522056
1110,Prince Edward Island / Île-du-Prince-Édouard,522,0.010520588
2425,Chaudière-Appalaches,111,0.01051356
2420,Capitale-Nationale,484,0.010510201
3550,Hamilton-Niagara Peninsula,331,0.010492067
5930,Thompson-Okanagan,312,0.010490432
4750,Prince Albert,321,0.010481366
2435,Montérégie,237,0.010471189
4680,North / Nord,322,0.010470108
4740,Yorkton-Melville,524,0.010445247
2415,Bas-Saint-Laurent,332,0.010432427
4720,Swift Current-Moose Jaw,311,0.010401595
6010,Yukon,523,0.010382787
2430,Estrie,336,0.010372799
4640,North Central / Centre nord,321,0.010364207
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,524,0.010351827
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,111,0.010337887
1310,Campbellton-Miramichi,111,0.01033274
1350,Edmundston-Woodstock,524,0.010327432
5950,Cariboo,237,0.010310639
3590,Northeast / Nord-est,522,0.010298391
4730,Saskatoon-Biggar,213,0.010295486
1040,Notre Dame-Central Bonavista Bay,522,0.010268726
4850,Red Deer,325,0.010265757
3530,Toronto,237,0.010262254
2465,Abitibi-Témiscamingue,331,0.010247285
4720,Swift Current-Moose Jaw,488,0.01024518
4660,Interlake,336,0.010240468
3515,Kingston-Pembroke,326,0.010232209
2445,Laval,484,0.010229868
2420,Capitale-Nationale,332,0.010217773
1210,Cape Breton,484,0.010217535
2475,Saguenay-Lac-Saint-Jean,111,0.010199107
3560,London,112,0.010192764
4630,Southwest / Sud-ouest,237,0.010182223
3570,Windsor-Sarnia,488,0.010132435
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,484,0.01010603
1220,North Shore / Côte-nord,321,0.010083584
2430,Estrie,339,0.010073698
1040,Notre Dame-Central Bonavista Bay,488,0.010061695
5950,Cariboo,212,0.010046747
4650,Winnipeg,332,0.010015457
2450,Lanaudière,522,0.010014129
3550,Hamilton-Niagara Peninsula,522,0.010009856
1230,Annapolis Valley,485,0.009983179
3550,Hamilton-Niagara Peninsula,485,0.009980712
1330,Saint John-St. Stephen,213,0.009945524
4860,Edmonton,524,0.009922248
5930,Thompson-Okanagan,523,0.009889578
2440,Montréal,484,0.009876167
3540,Kitchener-Waterloo-Barrie,522,0.009874871
2455,Laurentides,522,0.009849298
2433,Centre-du-Québec,237,0.009815618
1340,Fredericton-Oromocto,237,0.009805021
3540,Kitchener-Waterloo-Barrie,485,0.00980052
2455,Laurentides,332,0.009790054
1110,Prince Edward Island / Île-du-Prince-Édouard,523,0.009754721
4840,Banff-Jasper-Rocky Mountain House,236,0.00974903
4650,Winnipeg,221,0.009741984
2470,Mauricie,333,0.009722325
2465,Abitibi-Témiscamingue,237,0.00971549
4860,Edmonton,522,0.009710506
1010,Avalon Peninsula,524,0.009700382
1320,Moncton-Richibucto,237,0.009695866
1010,Avalon Peninsula,481,0.009690256
4680,North / Nord,236,0.00968485
3595,Northwest / Nord-ouest,485,0.009665699
1110,Prince Edward Island / Île-du-Prince-Édouard,524,0.009653949
2460,Outaouais,322,0.009646149
4710,Regina-Moose Mountain,212,0.009606676
2460,Outaouais,484,0.009598395
1110,Prince Edward Island / Île-du-Prince-Édouard,488,0.009593486
6010,Yukon,484,0.009569677
2415,Bas-Saint-Laurent,337,0.009552795
1310,Campbellton-Miramichi,332,0.009547975
5950,Cariboo,488,0.009518963
4730,Saskatoon-Biggar,332,0.009511565
2475,Saguenay-Lac-Saint-Jean,327,0.009487541
3595,Northwest / Nord-ouest,321,0.00945527
4860,Edmonton,523,0.009435241
5950,Cariboo,482,0.009424715
3580,Stratford-Bruce Peninsula,221,0.009418084
2433,Centre-du-Québec,335,0.009408894
4870,Athabasca-Grande Prairie-Peace River,115,0.009397493
4660,Interlake,332,0.009371857
4680,North / Nord,114,0.009318396
3550,Hamilton-Niagara Peninsula,326,0.009302436
3520,Muskoka-Kawarthas,484,0.009294893
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,114,0.009277667
4820,Camrose-Drumheller,333,0.009270314
3590,Northeast / Nord-est,331,0.00924871
3520,Muskoka-Kawarthas,524,0.009238629
4620,South Central / Centre sud,311,0.009238349
1250,Halifax,336,0.009214467
4650,Winnipeg,326,0.009210891
4660,Interlake,221,0.009188991
3510,Ottawa,523,0.009188906
2440,Montréal,332,0.009183777
4850,Red Deer,111,0.009159735
3530,Toronto,326,0.009145913
2410,Gaspésie-Îles-de-la-Madeleine,485,0.009140541
2450,Lanaudière,237,0.009137506
1340,Fredericton-Oromocto,524,0.009064596
2450,Lanaudière,485,0.009055
2440,Montréal,236,0.009049146
4830,Calgary,332,0.00902691
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,113,0.008990929
2430,Estrie,311,0.008984973
3570,Windsor-Sarnia,522,0.008965077
2420,Capitale-Nationale,237,0.008962053
2455,Laurentides,237,0.00896064
1330,Saint John-St. Stephen,486,0.008959931
4880,Wood Buffalo-Cold Lake,221,0.008955836
4850,Red Deer,112,0.008941646
3510,Ottawa,484,0.008927263
4720,Swift Current-Moose Jaw,221,0.008915653
4720,Swift Current-Moose Jaw,524,0.008915653
1040,Notre Dame-Central Bonavista Bay,484,0.008902323
4760,Northern / Nord,311,0.008891044
6210,Nunavut,213,0.008890062
2480,Côte-Nord,332,0.008844875
1320,Moncton-Richibucto,488,0.008833301
4850,Red Deer,522,0.008817023
4810,Lethbridge-Medicine Hat,523,0.008814236
2433,Centre-du-Québec,339,0.008798807
1330,Saint John-St. Stephen,114,0.008780733
5980,Northeast / Nord-est,488,0.008763104
5960,North Coast / Côte-nord,481,0.008760453
1240,Southern / Sud,484,0.008752454
4630,Southwest / Sud-ouest,488,0.008735568
1240,Southern / Sud,522,0.008720275
2470,Mauricie,488,0.008676438
2430,Estrie,315,0.008649981
2410,Gaspésie-Îles-de-la-Madeleine,111,0.008644222
2415,Bas-Saint-Laurent,485,0.008637979
4710,Regina-Moose Mountain,332,0.008633482
3580,Stratford-Bruce Peninsula,323,0.008606386
2450,Lanaudière,321,0.008580593
3520,Muskoka-Kawarthas,333,0.008540949
3580,Stratford-Bruce Peninsula,212,0.008534766
2410,Gaspésie-Îles-de-la-Madeleine,483,0.008520142
2430,Estrie,524,0.008518377
1310,Campbellton-Miramichi,115,0.008501622
5950,Cariboo,522,0.008463394
3580,Stratford-Bruce Peninsula,337,0.008463145
4710,Regina-Moose Mountain,111,0.008460041
4840,Banff-Jasper-Rocky Mountain House,212,0.008447522
1220,North Shore / Côte-nord,113,0.008431334
4730,Saskatoon-Biggar,333,0.008424529
2420,Capitale-Nationale,523,0.008372897
3590,Northeast / Nord-est,333,0.008371843
3520,Muskoka-Kawarthas,335,0.008360903
3590,Northeast / Nord-est,524,0.008346241
4820,Camrose-Drumheller,522,0.008339771
1220,North Shore / Côte-nord,114,0.008334143
3530,Toronto,333,0.008331136
2475,Saguenay-Lac-Saint-Jean,112,0.008327953
3530,Toronto,488,0.008314972
2410,Gaspésie-Îles-de-la-Madeleine,333,0.008313343
2465,Abitibi-Témiscamingue,333,0.008304187
4810,Lethbridge-Medicine Hat,524,0.008293143
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,221,0.008283632
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,326,0.008283632
3515,Kingston-Pembroke,522,0.008277934
4840,Banff-Jasper-Rocky Mountain House,327,0.008275625
2465,Abitibi-Témiscamingue,485,0.00826328
3580,Stratford-Bruce Peninsula,522,0.008260221
2430,Estrie,327,0.008255168
4720,Swift Current-Moose Jaw,237,0.00825089
1230,Annapolis Valley,322,0.008227894
4830,Calgary,311,0.008221822
2470,Mauricie,111,0.008205053
2490,Nord-du-Québec,213,0.008203678
3580,Stratford-Bruce Peninsula,524,0.008200537
1220,North Shore / Côte-nord,112,0.008164059
1320,Moncton-Richibucto,492,0.008162418
1320,Moncton-Richibucto,522,0.008130471
3530,Toronto,337,0.008129083
4670,Parklands,311,0.008123089
4640,North Central / Centre nord,115,0.008101598
2430,Estrie,485,0.008099636
4630,Southwest / Sud-ouest,523,0.008095702
5980,Northeast / Nord-est,212,0.008081529
5970,Nechako,488,0.008079553
1010,Avalon Peninsula,522,0.008060025
2415,Bas-Saint-Laurent,237,0.008057422
2475,Saguenay-Lac-Saint-Jean,485,0.008038056
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,482,0.008027615
2450,Lanaudière,112,0.008023679
4620,South Central / Centre sud,326,0.008006569
5910,Vancouver Island and Coast / Île de Vancouver et la côte,488,0.007996934
5950,Cariboo,213,0.007992159
2455,Laurentides,321,0.007983115
2410,Gaspésie-Îles-de-la-Madeleine,488,0.007982463
1110,Prince Edward Island / Île-du-Prince-Édouard,114,0.007960981
5910,Vancouver Island and Coast / Île de Vancouver et la côte,485,0.007954869
5910,Vancouver Island and Coast / Île de Vancouver et la côte,237,0.007950196
3560,London,522,0.007942133
5970,Nechako,522,0.007941441
4830,Calgary,524,0.007940593
3550,Hamilton-Niagara Peninsula,524,0.007929989
3595,Northwest / Nord-ouest,524,0.007926154
1320,Moncton-Richibucto,322,0.007922816
1010,Avalon Peninsula,221,0.007918266
4620,South Central / Centre sud,339,0.007903921
1340,Fredericton-Oromocto,488,0.007897866
1220,North Shore / Côte-nord,522,0.007896783
3510,Ottawa,491,0.007885924
2470,Mauricie,485,0.007880975
2440,Montréal,336,0.007870435
4720,Swift Current-Moose Jaw,115,0.007859852
5910,Vancouver Island and Coast / Île de Vancouver et la côte,321,0.007852045
4820,Camrose-Drumheller,524,0.007830606
4660,Interlake,523,0.0078175
2455,Laurentides,485,0.007805384
2425,Chaudière-Appalaches,485,0.007786912
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,522,0.007786787
3560,London,339,0.007779828
3595,Northwest / Nord-ouest,522,0.007771839
3515,Kingston-Pembroke,322,0.007765897
4840,Banff-Jasper-Rocky Mountain House,221,0.007759933
4710,Regina-Moose Mountain,486,0.007747008
3570,Windsor-Sarnia,523,0.007745965
5910,Vancouver Island and Coast / Île de Vancouver et la côte,112,0.007744547
4640,North Central / Centre nord,327,0.007736662
4730,Saskatoon-Biggar,524,0.007713775
2435,Montérégie,112,0.00770081
1230,Annapolis Valley,336,0.007679368
2435,Montérégie,333,0.007675497
1330,Saint John-St. Stephen,321,0.007669701
3540,Kitchener-Waterloo-Barrie,327,0.007663627
4810,Lethbridge-Medicine Hat,321,0.007661179
4860,Edmonton,485,0.007654487
2490,Nord-du-Québec,484,0.007637907
3530,Toronto,325,0.007625972
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,485,0.007620941
1210,Cape Breton,522,0.007613711
3515,Kingston-Pembroke,321,0.007612285
3580,Stratford-Bruce Peninsula,485,0.0076037
4660,Interlake,488,0.007588918
1220,North Shore / Côte-nord,115,0.007580912
4630,Southwest / Sud-ouest,333,0.007567116
5960,North Coast / Côte-nord,115,0.007565846
2480,Côte-Nord,322,0.007559722
4670,Parklands,524,0.007549694
2435,Montérégie,337,0.007546119
4830,Calgary,488,0.007545401
4840,Banff-Jasper-Rocky Mountain House,485,0.007538922
3510,Ottawa,237,0.007530089
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,321,0.00751242
3570,Windsor-Sarnia,311,0.007510193
2435,Montérégie,524,0.007506743
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,485,0.007483468
2470,Mauricie,326,0.007483244
2445,Laval,524,0.007469427
5910,Vancouver Island and Coast / Île de Vancouver et la côte,484,0.007454769
3580,Stratford-Bruce Peninsula,321,0.007448523
2465,Abitibi-Témiscamingue,115,0.007445133
1220,North Shore / Côte-nord,488,0.007435125
2435,Montérégie,485,0.007433616
1350,Edmundston-Woodstock,326,0.007424329
1350,Edmundston-Woodstock,112,0.007424329
1220,North Shore / Côte-nord,237,0.007386529
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,484,0.007385406
4750,Prince Albert,311,0.007375776
1040,Notre Dame-Central Bonavista Bay,321,0.007370295
2440,Montréal,325,0.007366255
2420,Capitale-Nationale,485,0.007362301
4670,Parklands,333,0.007358563
3540,Kitchener-Waterloo-Barrie,334,0.007357963
1230,Annapolis Valley,313,0.007350252
4650,Winnipeg,488,0.007340177
1340,Fredericton-Oromocto,484,0.007336938
4680,North / Nord,522,0.007329075
3530,Toronto,493,0.007322388
3520,Muskoka-Kawarthas,522,0.007314383
2440,Montréal,315,0.007312677
1320,Moncton-Richibucto,114,0.007299853
4830,Calgary,221,0.007297258
2455,Laurentides,488,0.007279594
4850,Red Deer,524,0.007274823
2455,Laurentides,333,0.007264783
4650,Winnipeg,493,0.007260909
3590,Northeast / Nord-est,113,0.007258157
1230,Annapolis Valley,522,0.007240547
3520,Muskoka-Kawarthas,325,0.00722436
2455,Laurentides,326,0.007212945
3550,Hamilton-Niagara Peninsula,237,0.007193425
5930,Thompson-Okanagan,524,0.007185732
3595,Northwest / Nord-ouest,336,0.007182638
4820,Camrose-Drumheller,311,0.007163424
1040,Notre Dame-Central Bonavista Bay,485,0.007163264
3540,Kitchener-Waterloo-Barrie,523,0.00715694
1110,Prince Edward Island / Île-du-Prince-Édouard,336,0.007154806
3560,London,326,0.007146837
5940,Kootenay,221,0.007143465
5930,Thompson-Okanagan,115,0.007130551
5930,Thompson-Okanagan,212,0.007106026
2433,Centre-du-Québec,485,0.007104121
4710,Regina-Moose Mountain,331,0.007091789
1350,Edmundston-Woodstock,522,0.007091186
4720,Swift Current-Moose Jaw,336,0.007077777
2415,Bas-Saint-Laurent,322,0.007072235
1320,Moncton-Richibucto,326,0.007044278
2455,Laurentides,337,0.006983375
2470,Mauricie,113,0.006967666
6110,Northwest Territories / Territoires du Nord-Ouest,523,0.006948771
3595,Northwest / Nord-ouest,115,0.006916095
1350,Edmundston-Woodstock,336,0.006900819
4840,Banff-Jasper-Rocky Mountain House,211,0.006900447
4750,Prince Albert,523,0.00688542
3520,Muskoka-Kawarthas,321,0.006853015
3580,Stratford-Bruce Peninsula,327,0.006851686
1320,Moncton-Richibucto,493,0.006836624
1350,Edmundston-Woodstock,333,0.006805635
2470,Mauricie,112,0.006805627
4750,Prince Albert,113,0.006803694
4630,Southwest / Sud-ouest,213,0.006760328
6110,Northwest Territories / Territoires du Nord-Ouest,483,0.006757081
4860,Edmonton,221,0.0067567
1250,Halifax,484,0.006745278
2425,Chaudière-Appalaches,327,0.006730643
4720,Swift Current-Moose Jaw,212,0.006725844
1010,Avalon Peninsula,484,0.006723438
4660,Interlake,524,0.006720307
4750,Prince Albert,211,0.006681105
4860,Edmonton,311,0.006642359
4840,Banff-Jasper-Rocky Mountain House,487,0.006630323
3595,Northwest / Nord-ouest,221,0.006621495
4630,Southwest / Sud-ouest,524,0.006621227
3520,Muskoka-Kawarthas,332,0.006616704
2445,Laval,323,0.006606789
6210,Nunavut,237,0.006601532
6210,Nunavut,311,0.006601532
1210,Cape Breton,322,0.006591958
1210,Cape Breton,481,0.006591958
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,333,0.006579533
1350,Edmundston-Woodstock,488,0.006567676
1220,North Shore / Côte-nord,212,0.006560404
4850,Red Deer,327,0.006558245
4820,Camrose-Drumheller,211,0.006548915
5940,Kootenay,524,0.006548176
2430,Estrie,237,0.006544315
2480,Côte-Nord,488,0.006539159
3560,London,523,0.006530078
3510,Ottawa,524,0.006514914
4610,Southeast / Sud-est,327,0.006514658
4820,Camrose-Drumheller,212,0.0065138
1330,Saint John-St. Stephen,113,0.00650491
3570,Windsor-Sarnia,115,0.00650385
3510,Ottawa,311,0.006493982
4660,Interlake,333,0.006491725
3530,Toronto,323,0.006479829
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,332,0.006479811
3550,Hamilton-Niagara Peninsula,325,0.00645951
4880,Wood Buffalo-Cold Lake,481,0.006449114
3520,Muskoka-Kawarthas,488,0.00644791
4660,Interlake,337,0.006446009
2440,Montréal,339,0.006441695
1010,Avalon Peninsula,483,0.006439919
2460,Outaouais,311,0.006430766
1040,Notre Dame-Central Bonavista Bay,212,0.006417954
3515,Kingston-Pembroke,111,0.006400464
3595,Northwest / Nord-ouest,488,0.006397037
3540,Kitchener-Waterloo-Barrie,335,0.006394158
3520,Muskoka-Kawarthas,237,0.006380393
2435,Montérégie,523,0.006364841
4650,Winnipeg,323,0.006353296
4820,Camrose-Drumheller,488,0.006338226
2420,Capitale-Nationale,339,0.006334503
1320,Moncton-Richibucto,332,0.006325474
3520,Muskoka-Kawarthas,523,0.006324128
4710,Regina-Moose Mountain,211,0.006320942
5960,North Coast / Côte-nord,485,0.006314352
2435,Montérégie,334,0.006308589
4870,Athabasca-Grande Prairie-Peace River,523,0.006308128
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,524,0.00629556
1220,North Shore / Côte-nord,221,0.006293129
3590,Northeast / Nord-est,332,0.006291683
2425,Chaudière-Appalaches,323,0.006288484
1110,Prince Edward Island / Île-du-Prince-Édouard,325,0.006288167
2440,Montréal,334,0.006287831
3560,London,237,0.00628121
2415,Bas-Saint-Laurent,336,0.006280567
5980,Northeast / Nord-est,485,0.006263997
2435,Montérégie,488,0.006260776
1230,Annapolis Valley,327,0.0062532
2420,Capitale-Nationale,334,0.006244194
4750,Prince Albert,524,0.00621118
3520,Muskoka-Kawarthas,111,0.006189094
5950,Cariboo,481,0.006182613
2455,Laurentides,523,0.006176177
3510,Ottawa,485,0.006153846
5980,Northeast / Nord-est,111,0.006134173
3560,London,331,0.006091854
3560,London,485,0.006070213
5980,Northeast / Nord-est,112,0.006069261
4740,Yorkton-Melville,332,0.006064982
5930,Thompson-Okanagan,336,0.006051465
6110,Northwest Territories / Territoires du Nord-Ouest,522,0.006038242
3560,London,321,0.006021522
2445,Laval,111,0.006008017
1040,Notre Dame-Central Bonavista Bay,113,0.006003892
4710,Regina-Moose Mountain,333,0.005993332
3515,Kingston-Pembroke,332,0.005990835
4710,Regina-Moose Mountain,221,0.005983697
3515,Kingston-Pembroke,331,0.005982301
5960,North Coast / Côte-nord,493,0.005973036
2435,Montérégie,327,0.005957018
6010,Yukon,488,0.005941956
2440,Montréal,326,0.005940262
2480,Côte-Nord,485,0.005934382
4810,Lethbridge-Medicine Hat,522,0.005931593
3530,Toronto,334,0.005910545
4620,South Central / Centre sud,237,0.005902279
5910,Vancouver Island and Coast / Île de Vancouver et la côte,524,0.005889034
4870,Athabasca-Grande Prairie-Peace River,325,0.005871411
4630,Southwest / Sud-ouest,221,0.005842259
3590,Northeast / Nord-est,488,0.005824447
2470,Mauricie,323,0.005818664
4820,Camrose-Drumheller,325,0.005811504
6210,Nunavut,483,0.005809348
6210,Nunavut,484,0.005809348
5940,Kootenay,327,0.005804065
3570,Windsor-Sarnia,485,0.005773533
5950,Cariboo,485,0.005749076
2425,Chaudière-Appalaches,339,0.005739879
2415,Bas-Saint-Laurent,331,0.005735196
1220,North Shore / Côte-nord,322,0.005709982
2435,Montérégie,335,0.0057067
1210,Cape Breton,524,0.005702044
3560,London,327,0.00566986
4610,Southeast / Sud-est,488,0.005666395
5930,Thompson-Okanagan,481,0.005665201
4630,Southwest / Sud-ouest,115,0.005647517
4620,South Central / Centre sud,331,0.005645658
1040,Notre Dame-Central Bonavista Bay,336,0.005631237
4650,Winnipeg,482,0.005627997
2445,Laval,523,0.005612219
2445,Laval,488,0.005612219
2445,Laval,326,0.00560207
4830,Calgary,486,0.005597015
2430,Estrie,325,0.005587194
2490,Nord-du-Québec,488,0.005586987
2470,Mauricie,524,0.00556824
2445,Laval,337,0.005520881
3570,Windsor-Sarnia,323,0.005520509
2433,Centre-du-Québec,323,0.005517896
4650,Winnipeg,485,0.005509096
1250,Halifax,311,0.005499885
4680,North / Nord,221,0.005496807
2440,Montréal,333,0.005495155
5980,Northeast / Nord-est,115,0.005485054
2430,Estrie,523,0.005479518
1210,Cape Breton,523,0.005471325
3550,Hamilton-Niagara Peninsula,493,0.005471242
3520,Muskoka-Kawarthas,322,0.005468908
2450,Lanaudière,327,0.005466002
2470,Mauricie,336,0.005465125
5940,Kootenay,488,0.0054639
3540,Kitchener-Waterloo-Barrie,339,0.005446875
1240,Southern / Sud,111,0.005438105
3520,Muskoka-Kawarthas,336,0.00543515
1340,Fredericton-Oromocto,111,0.005407346
6210,Nunavut,522,0.005369246
4730,Saskatoon-Biggar,221,0.005362014
3590,Northeast / Nord-est,523,0.005350811
4760,Northern / Nord,484,0.005334627
4750,Prince Albert,332,0.005332625
4830,Calgary,485,0.005324976
5950,Cariboo,332,0.005315539
2420,Capitale-Nationale,111,0.005311006
1310,Campbellton-Miramichi,524,0.005310244
5930,Thompson-Okanagan,332,0.005303462
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,493,0.005302443
4730,Saskatoon-Biggar,482,0.005278396
5950,Cariboo,524,0.005277841
1310,Campbellton-Miramichi,322,0.005257926
5970,Nechako,524,0.005248256
2450,Lanaudière,339,0.005239112
1310,Campbellton-Miramichi,331,0.005231767
3590,Northeast / Nord-est,221,0.005216401
4660,Interlake,481,0.005211667
2465,Abitibi-Témiscamingue,524,0.00519523
1230,Annapolis Valley,115,0.005192716
3540,Kitchener-Waterloo-Barrie,337,0.005185271
1340,Fredericton-Oromocto,339,0.005182975
3515,Kingston-Pembroke,333,0.005180109
4860,Edmonton,325,0.005179219
2445,Laval,333,0.005175826
4760,Northern / Nord,485,0.005172971
2470,Mauricie,339,0.005170509
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,488,0.005135852
2465,Abitibi-Témiscamingue,112,0.005133869
3515,Kingston-Pembroke,325,0.005128905
5980,Northeast / Nord-est,523,0.005128039
4650,Winnipeg,337,0.005120685
3510,Ottawa,323,0.005120356
2445,Laval,339,0.005114934
3510,Ottawa,339,0.005112507
4640,North Central / Centre nord,524,0.005109116
4640,North Central / Centre nord,332,0.005109116
1330,Saint John-St. Stephen,212,0.005107161
2435,Montérégie,321,0.005101998
1010,Avalon Peninsula,324,0.005072955
2475,Saguenay-Lac-Saint-Jean,524,0.005060022
2420,Capitale-Nationale,333,0.005052981
2435,Montérégie,323,0.005048559
4750,Prince Albert,115,0.005046584
1230,Annapolis Valley,332,0.005046442
3510,Ottawa,488,0.005039246
4880,Wood Buffalo-Cold Lake,212,0.005036234
3540,Kitchener-Waterloo-Barrie,111,0.005031062
4620,South Central / Centre sud,524,0.005029768
2420,Capitale-Nationale,325,0.005027179
1240,Southern / Sud,524,0.00501979
3515,Kingston-Pembroke,523,0.005017964
4830,Calgary,493,0.005012499
4760,Northern / Nord,522,0.005011316
1230,Annapolis Valley,523,0.005009873
3515,Kingston-Pembroke,493,0.00500943
4740,Yorkton-Melville,523,0.005006017
4650,Winnipeg,481,0.00499782
1210,Cape Breton,212,0.004976928
2420,Capitale-Nationale,323,0.004971273
2425,Chaudière-Appalaches,324,0.004970195
4820,Camrose-Drumheller,115,0.004968748
3590,Northeast / Nord-est,115,0.004966781
4610,Southeast / Sud-est,115,0.004953855
1250,Halifax,332,0.004952776
1250,Halifax,334,0.004945577
2440,Montréal,323,0.004942892
3580,Stratford-Bruce Peninsula,115,0.004941808
1230,Annapolis Valley,114,0.004936737
1240,Southern / Sud,333,0.004923255
2433,Centre-du-Québec,524,0.004921367
1250,Halifax,485,0.004916782
2480,Côte-Nord,221,0.004913819
2440,Montréal,221,0.004912668
4840,Banff-Jasper-Rocky Mountain House,322,0.00491135
4750,Prince Albert,336,0.004903563
3560,London,488,0.004896206
2450,Lanaudière,524,0.00484721
4650,Winnipeg,325,0.004839285
3550,Hamilton-Niagara Peninsula,339,0.004838009
5960,North Coast / Côte-nord,114,0.004835315
2440,Montréal,237,0.004830241
5940,Kootenay,336,0.004826091
2460,Outaouais,237,0.004823074
2425,Chaudière-Appalaches,331,0.004814621
2465,Abitibi-Témiscamingue,311,0.004806611
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,339,0.004800614
4730,Saskatoon-Biggar,485,0.004797592
2475,Saguenay-Lac-Saint-Jean,337,0.004796479
2450,Lanaudière,325,0.00478533
3570,Windsor-Sarnia,221,0.004784441
1010,Avalon Peninsula,211,0.004779311
5960,North Coast / Côte-nord,332,0.004778429
4670,Parklands,114,0.004778287
3540,Kitchener-Waterloo-Barrie,325,0.004772212
3510,Ottawa,112,0.004769754
1220,North Shore / Côte-nord,323,0.004762368
3550,Hamilton-Niagara Peninsula,488,0.004761173
2470,Mauricie,523,0.004758047
1110,Prince Edward Island / Île-du-Prince-Édouard,332,0.004756434
1330,Saint John-St. Stephen,485,0.004748764
5910,Vancouver Island and Coast / Île de Vancouver et la côte,111,0.004743944
2460,Outaouais,524,0.004743486
5910,Vancouver Island and Coast / Île de Vancouver et la côte,481,0.004720575
1040,Notre Dame-Central Bonavista Bay,114,0.004720301
4730,Saskatoon-Biggar,112,0.004693069
3530,Toronto,339,0.004692673
4870,Athabasca-Grande Prairie-Peace River,488,0.004690659
1210,Cape Breton,488,0.00468029
1040,Notre Dame-Central Bonavista Bay,112,0.004678895
5930,Thompson-Okanagan,485,0.004678083
5910,Vancouver Island and Coast / Île de Vancouver et la côte,322,0.004673836
5930,Thompson-Okanagan,311,0.004671952
4710,Regina-Moose Mountain,493,0.004663622
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,112,0.004656017
4870,Athabasca-Grande Prairie-Peace River,332,0.004642135
4820,Camrose-Drumheller,221,0.0046176
4660,Interlake,326,0.004617354
2435,Montérégie,339,0.004598548
4850,Red Deer,337,0.004579867
