ERUID,ERNAME,NAICS,Concentration
2420,Capitale-Nationale,311,1.1%
3595,Northwest / Nord-ouest,481,1.1%
2435,Montérégie,325,1.1%
4830,Calgary,333,1.1%
2410,Gaspésie-Îles-de-la-Madeleine,115,1.1%
4760,Northern / Nord,213,1.1%
3570,Windsor-Sarnia,524,1.1%
2480,Côte-Nord,237,1.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,311,1.1%
5940,Kootenay,331,1.1%
4850,Red Deer,332,1.1%
4650,Winnipeg,237,1.1%
2480,Côte-Nord,115,1.1%
5930,Thompson-Okanagan,113,1.1%
2430,Estrie,337,1.1%
4670,Parklands,113,1.1%
1040,Notre Dame-Central Bonavista Bay,221,1.1%
2435,Montérégie,331,1.1%
5970,Nechako,112,1.1%
3510,Ottawa,334,1.1%
4710,Regina-Moose Mountain,523,1.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,522,1.1%
2425,Chaudière-Appalaches,111,1.1%
2420,Capitale-Nationale,484,1.1%
3550,Hamilton-Niagara Peninsula,331,1.0%
5930,Thompson-Okanagan,312,1.0%
4750,Prince Albert,321,1.0%
2435,Montérégie,237,1.0%
4680,North / Nord,322,1.0%
4740,Yorkton-Melville,524,1.0%
2415,Bas-Saint-Laurent,332,1.0%
4720,Swift Current-Moose Jaw,311,1.0%
6010,Yukon,523,1.0%
2430,Estrie,336,1.0%
4640,North Central / Centre nord,321,1.0%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,524,1.0%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,111,1.0%
1310,Campbellton-Miramichi,111,1.0%
1350,Edmundston-Woodstock,524,1.0%
5950,Cariboo,237,1.0%
3590,Northeast / Nord-est,522,1.0%
4730,Saskatoon-Biggar,213,1.0%
1040,Notre Dame-Central Bonavista Bay,522,1.0%
4850,Red Deer,325,1.0%
3530,Toronto,237,1.0%
2465,Abitibi-Témiscamingue,331,1.0%
4720,Swift Current-Moose Jaw,488,1.0%
4660,Interlake,336,1.0%
3515,Kingston-Pembroke,326,1.0%
2445,Laval,484,1.0%
2420,Capitale-Nationale,332,1.0%
1210,Cape Breton,484,1.0%
2475,Saguenay-Lac-Saint-Jean,111,1.0%
3560,London,112,1.0%
4630,Southwest / Sud-ouest,237,1.0%
3570,Windsor-Sarnia,488,1.0%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,484,1.0%
1220,North Shore / Côte-nord,321,1.0%
2430,Estrie,339,1.0%
1040,Notre Dame-Central Bonavista Bay,488,1.0%
5950,Cariboo,212,1.0%
4650,Winnipeg,332,1.0%
2450,Lanaudière,522,1.0%
3550,Hamilton-Niagara Peninsula,522,1.0%
1230,Annapolis Valley,485,1.0%
3550,Hamilton-Niagara Peninsula,485,1.0%
1330,Saint John-St. Stephen,213,1.0%
4860,Edmonton,524,1.0%
5930,Thompson-Okanagan,523,1.0%
2440,Montréal,484,1.0%
3540,Kitchener-Waterloo-Barrie,522,1.0%
2455,Laurentides,522,1.0%
2433,Centre-du-Québec,237,1.0%
1340,Fredericton-Oromocto,237,1.0%
3540,Kitchener-Waterloo-Barrie,485,1.0%
2455,Laurentides,332,1.0%
1110,Prince Edward Island / Île-du-Prince-Édouard,523,1.0%
4840,Banff-Jasper-Rocky Mountain House,236,1.0%
4650,Winnipeg,221,1.0%
2470,Mauricie,333,1.0%
2465,Abitibi-Témiscamingue,237,1.0%
4860,Edmonton,522,1.0%
1010,Avalon Peninsula,524,1.0%
1320,Moncton-Richibucto,237,1.0%
1010,Avalon Peninsula,481,1.0%
4680,North / Nord,236,1.0%
3595,Northwest / Nord-ouest,485,1.0%
1110,Prince Edward Island / Île-du-Prince-Édouard,524,1.0%
2460,Outaouais,322,1.0%
4710,Regina-Moose Mountain,212,1.0%
2460,Outaouais,484,1.0%
1110,Prince Edward Island / Île-du-Prince-Édouard,488,1.0%
6010,Yukon,484,1.0%
2415,Bas-Saint-Laurent,337,1.0%
1310,Campbellton-Miramichi,332,1.0%
5950,Cariboo,488,1.0%
4730,Saskatoon-Biggar,332,1.0%
2475,Saguenay-Lac-Saint-Jean,327,0.9%
3595,Northwest / Nord-ouest,321,0.9%
4860,Edmonton,523,0.9%
5950,Cariboo,482,0.9%
3580,Stratford-Bruce Peninsula,221,0.9%
2433,Centre-du-Québec,335,0.9%
4870,Athabasca-Grande Prairie-Peace River,115,0.9%
4660,Interlake,332,0.9%
4680,North / Nord,114,0.9%
3550,Hamilton-Niagara Peninsula,326,0.9%
3520,Muskoka-Kawarthas,484,0.9%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,114,0.9%
4820,Camrose-Drumheller,333,0.9%
3590,Northeast / Nord-est,331,0.9%
3520,Muskoka-Kawarthas,524,0.9%
4620,South Central / Centre sud,311,0.9%
1250,Halifax,336,0.9%
4650,Winnipeg,326,0.9%
4660,Interlake,221,0.9%
3510,Ottawa,523,0.9%
2440,Montréal,332,0.9%
4850,Red Deer,111,0.9%
3530,Toronto,326,0.9%
2410,Gaspésie-Îles-de-la-Madeleine,485,0.9%
2450,Lanaudière,237,0.9%
1340,Fredericton-Oromocto,524,0.9%
2450,Lanaudière,485,0.9%
2440,Montréal,236,0.9%
4830,Calgary,332,0.9%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,113,0.9%
2430,Estrie,311,0.9%
3570,Windsor-Sarnia,522,0.9%
2420,Capitale-Nationale,237,0.9%
2455,Laurentides,237,0.9%
1330,Saint John-St. Stephen,486,0.9%
4880,Wood Buffalo-Cold Lake,221,0.9%
4850,Red Deer,112,0.9%
3510,Ottawa,484,0.9%
4720,Swift Current-Moose Jaw,221,0.9%
4720,Swift Current-Moose Jaw,524,0.9%
1040,Notre Dame-Central Bonavista Bay,484,0.9%
4760,Northern / Nord,311,0.9%
6210,Nunavut,213,0.9%
2480,Côte-Nord,332,0.9%
1320,Moncton-Richibucto,488,0.9%
4850,Red Deer,522,0.9%
4810,Lethbridge-Medicine Hat,523,0.9%
2433,Centre-du-Québec,339,0.9%
1330,Saint John-St. Stephen,114,0.9%
5980,Northeast / Nord-est,488,0.9%
5960,North Coast / Côte-nord,481,0.9%
1240,Southern / Sud,484,0.9%
4630,Southwest / Sud-ouest,488,0.9%
1240,Southern / Sud,522,0.9%
2470,Mauricie,488,0.9%
2430,Estrie,315,0.9%
2410,Gaspésie-Îles-de-la-Madeleine,111,0.9%
2415,Bas-Saint-Laurent,485,0.9%
4710,Regina-Moose Mountain,332,0.9%
3580,Stratford-Bruce Peninsula,323,0.9%
2450,Lanaudière,321,0.9%
3520,Muskoka-Kawarthas,333,0.9%
3580,Stratford-Bruce Peninsula,212,0.9%
2410,Gaspésie-Îles-de-la-Madeleine,483,0.9%
2430,Estrie,524,0.9%
1310,Campbellton-Miramichi,115,0.9%
5950,Cariboo,522,0.8%
3580,Stratford-Bruce Peninsula,337,0.8%
4710,Regina-Moose Mountain,111,0.8%
4840,Banff-Jasper-Rocky Mountain House,212,0.8%
1220,North Shore / Côte-nord,113,0.8%
4730,Saskatoon-Biggar,333,0.8%
2420,Capitale-Nationale,523,0.8%
3590,Northeast / Nord-est,333,0.8%
3520,Muskoka-Kawarthas,335,0.8%
3590,Northeast / Nord-est,524,0.8%
4820,Camrose-Drumheller,522,0.8%
1220,North Shore / Côte-nord,114,0.8%
3530,Toronto,333,0.8%
2475,Saguenay-Lac-Saint-Jean,112,0.8%
3530,Toronto,488,0.8%
2410,Gaspésie-Îles-de-la-Madeleine,333,0.8%
2465,Abitibi-Témiscamingue,333,0.8%
4810,Lethbridge-Medicine Hat,524,0.8%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,221,0.8%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,326,0.8%
3515,Kingston-Pembroke,522,0.8%
4840,Banff-Jasper-Rocky Mountain House,327,0.8%
2465,Abitibi-Témiscamingue,485,0.8%
3580,Stratford-Bruce Peninsula,522,0.8%
2430,Estrie,327,0.8%
4720,Swift Current-Moose Jaw,237,0.8%
1230,Annapolis Valley,322,0.8%
4830,Calgary,311,0.8%
2470,Mauricie,111,0.8%
2490,Nord-du-Québec,213,0.8%
3580,Stratford-Bruce Peninsula,524,0.8%
1220,North Shore / Côte-nord,112,0.8%
1320,Moncton-Richibucto,492,0.8%
1320,Moncton-Richibucto,522,0.8%
3530,Toronto,337,0.8%
4670,Parklands,311,0.8%
4640,North Central / Centre nord,115,0.8%
2430,Estrie,485,0.8%
4630,Southwest / Sud-ouest,523,0.8%
5980,Northeast / Nord-est,212,0.8%
5970,Nechako,488,0.8%
1010,Avalon Peninsula,522,0.8%
2415,Bas-Saint-Laurent,237,0.8%
2475,Saguenay-Lac-Saint-Jean,485,0.8%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,482,0.8%
2450,Lanaudière,112,0.8%
4620,South Central / Centre sud,326,0.8%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,488,0.8%
5950,Cariboo,213,0.8%
2455,Laurentides,321,0.8%
2410,Gaspésie-Îles-de-la-Madeleine,488,0.8%
1110,Prince Edward Island / Île-du-Prince-Édouard,114,0.8%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,485,0.8%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,237,0.8%
3560,London,522,0.8%
5970,Nechako,522,0.8%
4830,Calgary,524,0.8%
3550,Hamilton-Niagara Peninsula,524,0.8%
3595,Northwest / Nord-ouest,524,0.8%
1320,Moncton-Richibucto,322,0.8%
1010,Avalon Peninsula,221,0.8%
4620,South Central / Centre sud,339,0.8%
1340,Fredericton-Oromocto,488,0.8%
1220,North Shore / Côte-nord,522,0.8%
3510,Ottawa,491,0.8%
2470,Mauricie,485,0.8%
2440,Montréal,336,0.8%
4720,Swift Current-Moose Jaw,115,0.8%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,321,0.8%
4820,Camrose-Drumheller,524,0.8%
4660,Interlake,523,0.8%
2455,Laurentides,485,0.8%
2425,Chaudière-Appalaches,485,0.8%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,522,0.8%
3560,London,339,0.8%
3595,Northwest / Nord-ouest,522,0.8%
3515,Kingston-Pembroke,322,0.8%
4840,Banff-Jasper-Rocky Mountain House,221,0.8%
4710,Regina-Moose Mountain,486,0.8%
3570,Windsor-Sarnia,523,0.8%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,112,0.8%
4640,North Central / Centre nord,327,0.8%
4730,Saskatoon-Biggar,524,0.8%
2435,Montérégie,112,0.8%
1230,Annapolis Valley,336,0.8%
2435,Montérégie,333,0.8%
1330,Saint John-St. Stephen,321,0.8%
3540,Kitchener-Waterloo-Barrie,327,0.8%
4810,Lethbridge-Medicine Hat,321,0.8%
4860,Edmonton,485,0.8%
2490,Nord-du-Québec,484,0.8%
3530,Toronto,325,0.8%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,485,0.8%
1210,Cape Breton,522,0.8%
3515,Kingston-Pembroke,321,0.8%
3580,Stratford-Bruce Peninsula,485,0.8%
4660,Interlake,488,0.8%
1220,North Shore / Côte-nord,115,0.8%
4630,Southwest / Sud-ouest,333,0.8%
5960,North Coast / Côte-nord,115,0.8%
2480,Côte-Nord,322,0.8%
4670,Parklands,524,0.8%
2435,Montérégie,337,0.8%
4830,Calgary,488,0.8%
4840,Banff-Jasper-Rocky Mountain House,485,0.8%
3510,Ottawa,237,0.8%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,321,0.8%
3570,Windsor-Sarnia,311,0.8%
2435,Montérégie,524,0.8%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,485,0.7%
2470,Mauricie,326,0.7%
2445,Laval,524,0.7%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,484,0.7%
3580,Stratford-Bruce Peninsula,321,0.7%
2465,Abitibi-Témiscamingue,115,0.7%
1220,North Shore / Côte-nord,488,0.7%
2435,Montérégie,485,0.7%
1350,Edmundston-Woodstock,326,0.7%
1350,Edmundston-Woodstock,112,0.7%
1220,North Shore / Côte-nord,237,0.7%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,484,0.7%
4750,Prince Albert,311,0.7%
1040,Notre Dame-Central Bonavista Bay,321,0.7%
2440,Montréal,325,0.7%
2420,Capitale-Nationale,485,0.7%
4670,Parklands,333,0.7%
3540,Kitchener-Waterloo-Barrie,334,0.7%
1230,Annapolis Valley,313,0.7%
4650,Winnipeg,488,0.7%
1340,Fredericton-Oromocto,484,0.7%
4680,North / Nord,522,0.7%
3530,Toronto,493,0.7%
3520,Muskoka-Kawarthas,522,0.7%
2440,Montréal,315,0.7%
1320,Moncton-Richibucto,114,0.7%
4830,Calgary,221,0.7%
2455,Laurentides,488,0.7%
4850,Red Deer,524,0.7%
2455,Laurentides,333,0.7%
4650,Winnipeg,493,0.7%
3590,Northeast / Nord-est,113,0.7%
1230,Annapolis Valley,522,0.7%
3520,Muskoka-Kawarthas,325,0.7%
2455,Laurentides,326,0.7%
3550,Hamilton-Niagara Peninsula,237,0.7%
5930,Thompson-Okanagan,524,0.7%
3595,Northwest / Nord-ouest,336,0.7%
4820,Camrose-Drumheller,311,0.7%
1040,Notre Dame-Central Bonavista Bay,485,0.7%
3540,Kitchener-Waterloo-Barrie,523,0.7%
1110,Prince Edward Island / Île-du-Prince-Édouard,336,0.7%
3560,London,326,0.7%
5940,Kootenay,221,0.7%
5930,Thompson-Okanagan,115,0.7%
5930,Thompson-Okanagan,212,0.7%
2433,Centre-du-Québec,485,0.7%
4710,Regina-Moose Mountain,331,0.7%
1350,Edmundston-Woodstock,522,0.7%
4720,Swift Current-Moose Jaw,336,0.7%
2415,Bas-Saint-Laurent,322,0.7%
1320,Moncton-Richibucto,326,0.7%
2455,Laurentides,337,0.7%
2470,Mauricie,113,0.7%
6110,Northwest Territories / Territoires du Nord-Ouest,523,0.7%
3595,Northwest / Nord-ouest,115,0.7%
1350,Edmundston-Woodstock,336,0.7%
4840,Banff-Jasper-Rocky Mountain House,211,0.7%
4750,Prince Albert,523,0.7%
3520,Muskoka-Kawarthas,321,0.7%
3580,Stratford-Bruce Peninsula,327,0.7%
1320,Moncton-Richibucto,493,0.7%
1350,Edmundston-Woodstock,333,0.7%
2470,Mauricie,112,0.7%
4750,Prince Albert,113,0.7%
4630,Southwest / Sud-ouest,213,0.7%
6110,Northwest Territories / Territoires du Nord-Ouest,483,0.7%
4860,Edmonton,221,0.7%
1250,Halifax,484,0.7%
2425,Chaudière-Appalaches,327,0.7%
4720,Swift Current-Moose Jaw,212,0.7%
1010,Avalon Peninsula,484,0.7%
4660,Interlake,524,0.7%
4750,Prince Albert,211,0.7%
4860,Edmonton,311,0.7%
4840,Banff-Jasper-Rocky Mountain House,487,0.7%
3595,Northwest / Nord-ouest,221,0.7%
4630,Southwest / Sud-ouest,524,0.7%
3520,Muskoka-Kawarthas,332,0.7%
2445,Laval,323,0.7%
6210,Nunavut,237,0.7%
6210,Nunavut,311,0.7%
1210,Cape Breton,322,0.7%
1210,Cape Breton,481,0.7%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,333,0.7%
1350,Edmundston-Woodstock,488,0.7%
1220,North Shore / Côte-nord,212,0.7%
4850,Red Deer,327,0.7%
4820,Camrose-Drumheller,211,0.7%
5940,Kootenay,524,0.7%
2430,Estrie,237,0.7%
2480,Côte-Nord,488,0.7%
3560,London,523,0.7%
3510,Ottawa,524,0.7%
4610,Southeast / Sud-est,327,0.7%
4820,Camrose-Drumheller,212,0.7%
1330,Saint John-St. Stephen,113,0.7%
3570,Windsor-Sarnia,115,0.7%
3510,Ottawa,311,0.6%
4660,Interlake,333,0.6%
3530,Toronto,323,0.6%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,332,0.6%
3550,Hamilton-Niagara Peninsula,325,0.6%
4880,Wood Buffalo-Cold Lake,481,0.6%
3520,Muskoka-Kawarthas,488,0.6%
4660,Interlake,337,0.6%
2440,Montréal,339,0.6%
1010,Avalon Peninsula,483,0.6%
2460,Outaouais,311,0.6%
1040,Notre Dame-Central Bonavista Bay,212,0.6%
3515,Kingston-Pembroke,111,0.6%
3595,Northwest / Nord-ouest,488,0.6%
3540,Kitchener-Waterloo-Barrie,335,0.6%
3520,Muskoka-Kawarthas,237,0.6%
2435,Montérégie,523,0.6%
4650,Winnipeg,323,0.6%
4820,Camrose-Drumheller,488,0.6%
2420,Capitale-Nationale,339,0.6%
1320,Moncton-Richibucto,332,0.6%
3520,Muskoka-Kawarthas,523,0.6%
4710,Regina-Moose Mountain,211,0.6%
5960,North Coast / Côte-nord,485,0.6%
2435,Montérégie,334,0.6%
4870,Athabasca-Grande Prairie-Peace River,523,0.6%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,524,0.6%
1220,North Shore / Côte-nord,221,0.6%
3590,Northeast / Nord-est,332,0.6%
2425,Chaudière-Appalaches,323,0.6%
1110,Prince Edward Island / Île-du-Prince-Édouard,325,0.6%
2440,Montréal,334,0.6%
3560,London,237,0.6%
2415,Bas-Saint-Laurent,336,0.6%
5980,Northeast / Nord-est,485,0.6%
2435,Montérégie,488,0.6%
1230,Annapolis Valley,327,0.6%
2420,Capitale-Nationale,334,0.6%
4750,Prince Albert,524,0.6%
3520,Muskoka-Kawarthas,111,0.6%
5950,Cariboo,481,0.6%
2455,Laurentides,523,0.6%
3510,Ottawa,485,0.6%
5980,Northeast / Nord-est,111,0.6%
3560,London,331,0.6%
3560,London,485,0.6%
5980,Northeast / Nord-est,112,0.6%
4740,Yorkton-Melville,332,0.6%
5930,Thompson-Okanagan,336,0.6%
6110,Northwest Territories / Territoires du Nord-Ouest,522,0.6%
3560,London,321,0.6%
2445,Laval,111,0.6%
1040,Notre Dame-Central Bonavista Bay,113,0.6%
4710,Regina-Moose Mountain,333,0.6%
3515,Kingston-Pembroke,332,0.6%
4710,Regina-Moose Mountain,221,0.6%
3515,Kingston-Pembroke,331,0.6%
5960,North Coast / Côte-nord,493,0.6%
2435,Montérégie,327,0.6%
6010,Yukon,488,0.6%
2440,Montréal,326,0.6%
2480,Côte-Nord,485,0.6%
4810,Lethbridge-Medicine Hat,522,0.6%
3530,Toronto,334,0.6%
4620,South Central / Centre sud,237,0.6%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,524,0.6%
4870,Athabasca-Grande Prairie-Peace River,325,0.6%
4630,Southwest / Sud-ouest,221,0.6%
3590,Northeast / Nord-est,488,0.6%
2470,Mauricie,323,0.6%
4820,Camrose-Drumheller,325,0.6%
6210,Nunavut,483,0.6%
6210,Nunavut,484,0.6%
5940,Kootenay,327,0.6%
3570,Windsor-Sarnia,485,0.6%
5950,Cariboo,485,0.6%
2425,Chaudière-Appalaches,339,0.6%
2415,Bas-Saint-Laurent,331,0.6%
1220,North Shore / Côte-nord,322,0.6%
2435,Montérégie,335,0.6%
1210,Cape Breton,524,0.6%
3560,London,327,0.6%
4610,Southeast / Sud-est,488,0.6%
5930,Thompson-Okanagan,481,0.6%
4630,Southwest / Sud-ouest,115,0.6%
4620,South Central / Centre sud,331,0.6%
1040,Notre Dame-Central Bonavista Bay,336,0.6%
4650,Winnipeg,482,0.6%
2445,Laval,523,0.6%
2445,Laval,488,0.6%
2445,Laval,326,0.6%
4830,Calgary,486,0.6%
2430,Estrie,325,0.6%
2490,Nord-du-Québec,488,0.6%
2470,Mauricie,524,0.6%
2445,Laval,337,0.6%
3570,Windsor-Sarnia,323,0.6%
2433,Centre-du-Québec,323,0.6%
4650,Winnipeg,485,0.6%
1250,Halifax,311,0.5%
4680,North / Nord,221,0.5%
2440,Montréal,333,0.5%
5980,Northeast / Nord-est,115,0.5%
2430,Estrie,523,0.5%
1210,Cape Breton,523,0.5%
3550,Hamilton-Niagara Peninsula,493,0.5%
3520,Muskoka-Kawarthas,322,0.5%
2450,Lanaudière,327,0.5%
2470,Mauricie,336,0.5%
5940,Kootenay,488,0.5%
3540,Kitchener-Waterloo-Barrie,339,0.5%
1240,Southern / Sud,111,0.5%
3520,Muskoka-Kawarthas,336,0.5%
1340,Fredericton-Oromocto,111,0.5%
6210,Nunavut,522,0.5%
4730,Saskatoon-Biggar,221,0.5%
3590,Northeast / Nord-est,523,0.5%
4760,Northern / Nord,484,0.5%
4750,Prince Albert,332,0.5%
4830,Calgary,485,0.5%
5950,Cariboo,332,0.5%
2420,Capitale-Nationale,111,0.5%
1310,Campbellton-Miramichi,524,0.5%
5930,Thompson-Okanagan,332,0.5%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,493,0.5%
4730,Saskatoon-Biggar,482,0.5%
5950,Cariboo,524,0.5%
1310,Campbellton-Miramichi,322,0.5%
5970,Nechako,524,0.5%
2450,Lanaudière,339,0.5%
1310,Campbellton-Miramichi,331,0.5%
3590,Northeast / Nord-est,221,0.5%
4660,Interlake,481,0.5%
2465,Abitibi-Témiscamingue,524,0.5%
1230,Annapolis Valley,115,0.5%
3540,Kitchener-Waterloo-Barrie,337,0.5%
1340,Fredericton-Oromocto,339,0.5%
3515,Kingston-Pembroke,333,0.5%
4860,Edmonton,325,0.5%
2445,Laval,333,0.5%
4760,Northern / Nord,485,0.5%
2470,Mauricie,339,0.5%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,488,0.5%
2465,Abitibi-Témiscamingue,112,0.5%
3515,Kingston-Pembroke,325,0.5%
5980,Northeast / Nord-est,523,0.5%
4650,Winnipeg,337,0.5%
3510,Ottawa,323,0.5%
2445,Laval,339,0.5%
3510,Ottawa,339,0.5%
4640,North Central / Centre nord,524,0.5%
4640,North Central / Centre nord,332,0.5%
1330,Saint John-St. Stephen,212,0.5%
2435,Montérégie,321,0.5%
1010,Avalon Peninsula,324,0.5%
2475,Saguenay-Lac-Saint-Jean,524,0.5%
2420,Capitale-Nationale,333,0.5%
2435,Montérégie,323,0.5%
4750,Prince Albert,115,0.5%
1230,Annapolis Valley,332,0.5%
3510,Ottawa,488,0.5%
4880,Wood Buffalo-Cold Lake,212,0.5%
3540,Kitchener-Waterloo-Barrie,111,0.5%
4620,South Central / Centre sud,524,0.5%
2420,Capitale-Nationale,325,0.5%
1240,Southern / Sud,524,0.5%
3515,Kingston-Pembroke,523,0.5%
4830,Calgary,493,0.5%
4760,Northern / Nord,522,0.5%
1230,Annapolis Valley,523,0.5%
3515,Kingston-Pembroke,493,0.5%
4740,Yorkton-Melville,523,0.5%
4650,Winnipeg,481,0.5%
1210,Cape Breton,212,0.5%
2420,Capitale-Nationale,323,0.5%
2425,Chaudière-Appalaches,324,0.5%
4820,Camrose-Drumheller,115,0.5%
3590,Northeast / Nord-est,115,0.5%
4610,Southeast / Sud-est,115,0.5%
1250,Halifax,332,0.5%
1250,Halifax,334,0.5%
2440,Montréal,323,0.5%
3580,Stratford-Bruce Peninsula,115,0.5%
1230,Annapolis Valley,114,0.5%
1240,Southern / Sud,333,0.5%
2433,Centre-du-Québec,524,0.5%
1250,Halifax,485,0.5%
2480,Côte-Nord,221,0.5%
2440,Montréal,221,0.5%
4840,Banff-Jasper-Rocky Mountain House,322,0.5%
4750,Prince Albert,336,0.5%
3560,London,488,0.5%
2450,Lanaudière,524,0.5%
4650,Winnipeg,325,0.5%
3550,Hamilton-Niagara Peninsula,339,0.5%
5960,North Coast / Côte-nord,114,0.5%
2440,Montréal,237,0.5%
5940,Kootenay,336,0.5%
2460,Outaouais,237,0.5%
2425,Chaudière-Appalaches,331,0.5%
2465,Abitibi-Témiscamingue,311,0.5%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,339,0.5%
4730,Saskatoon-Biggar,485,0.5%
2475,Saguenay-Lac-Saint-Jean,337,0.5%
2450,Lanaudière,325,0.5%
3570,Windsor-Sarnia,221,0.5%
1010,Avalon Peninsula,211,0.5%
5960,North Coast / Côte-nord,332,0.5%
4670,Parklands,114,0.5%
3540,Kitchener-Waterloo-Barrie,325,0.5%
3510,Ottawa,112,0.5%
1220,North Shore / Côte-nord,323,0.5%
3550,Hamilton-Niagara Peninsula,488,0.5%
2470,Mauricie,523,0.5%
1110,Prince Edward Island / Île-du-Prince-Édouard,332,0.5%
1330,Saint John-St. Stephen,485,0.5%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,111,0.5%
2460,Outaouais,524,0.5%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,481,0.5%
1040,Notre Dame-Central Bonavista Bay,114,0.5%
4730,Saskatoon-Biggar,112,0.5%
3530,Toronto,339,0.5%
4870,Athabasca-Grande Prairie-Peace River,488,0.5%
1210,Cape Breton,488,0.5%
1040,Notre Dame-Central Bonavista Bay,112,0.5%
5930,Thompson-Okanagan,485,0.5%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,322,0.5%
5930,Thompson-Okanagan,311,0.5%
4710,Regina-Moose Mountain,493,0.5%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,112,0.5%
4870,Athabasca-Grande Prairie-Peace River,332,0.5%
4820,Camrose-Drumheller,221,0.5%
4660,Interlake,326,0.5%
2435,Montérégie,339,0.5%
4850,Red Deer,337,0.5%
1230,Annapolis Valley,524,0.5%
3520,Muskoka-Kawarthas,331,0.5%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,115,0.5%
2455,Laurentides,334,0.5%
3550,Hamilton-Niagara Peninsula,327,0.5%
3510,Ottawa,325,0.5%
2475,Saguenay-Lac-Saint-Jean,212,0.5%
1040,Notre Dame-Central Bonavista Bay,481,0.5%
1110,Prince Edward Island / Île-du-Prince-Édouard,221,0.4%
1340,Fredericton-Oromocto,322,0.4%
2415,Bas-Saint-Laurent,488,0.4%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,115,0.4%
1320,Moncton-Richibucto,111,0.4%
4860,Edmonton,326,0.4%
2415,Bas-Saint-Laurent,115,0.4%
3580,Stratford-Bruce Peninsula,331,0.4%
5960,North Coast / Côte-nord,221,0.4%
1110,Prince Edward Island / Île-du-Prince-Édouard,333,0.4%
4730,Saskatoon-Biggar,334,0.4%
1330,Saint John-St. Stephen,327,0.4%
1240,Southern / Sud,332,0.4%
1340,Fredericton-Oromocto,113,0.4%
1010,Avalon Peninsula,485,0.4%
5930,Thompson-Okanagan,112,0.4%
2430,Estrie,313,0.4%
2433,Centre-du-Québec,488,0.4%
2420,Capitale-Nationale,115,0.4%
4810,Lethbridge-Medicine Hat,326,0.4%
4860,Edmonton,488,0.4%
3530,Toronto,485,0.4%
3515,Kingston-Pembroke,488,0.4%
4810,Lethbridge-Medicine Hat,333,0.4%
4630,Southwest / Sud-ouest,211,0.4%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,213,0.4%
1010,Avalon Peninsula,212,0.4%
1010,Avalon Peninsula,493,0.4%
3540,Kitchener-Waterloo-Barrie,112,0.4%
3520,Muskoka-Kawarthas,339,0.4%
1350,Edmundston-Woodstock,332,0.4%
1040,Notre Dame-Central Bonavista Bay,524,0.4%
2410,Gaspésie-Îles-de-la-Madeleine,312,0.4%
2433,Centre-du-Québec,315,0.4%
5940,Kootenay,322,0.4%
4830,Calgary,321,0.4%
5940,Kootenay,523,0.4%
2440,Montréal,337,0.4%
2440,Montréal,493,0.4%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,337,0.4%
2410,Gaspésie-Îles-de-la-Madeleine,212,0.4%
4840,Banff-Jasper-Rocky Mountain House,523,0.4%
1320,Moncton-Richibucto,337,0.4%
3550,Hamilton-Niagara Peninsula,312,0.4%
2425,Chaudière-Appalaches,113,0.4%
4860,Edmonton,321,0.4%
